position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
130	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	u1jjzcQtTUA	2017-09-08T16:53:22.000Z	2017-09-08 16:53:22	Weekly Update 9.8.17	No matter what challenge we face, President Trump leads our country with HEART and COMPASSION. Watch for more.	25	News & Politics	PT3M32S	212	2d	hd	false		3129	416	40	0	80
131	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	XrR08-c16qY	2017-09-07T11:04:55.000Z	2017-09-07 11:04:55	Finish The Job	“In a very short time, President Trump has already achieved great success. The President has led a growing resurgence in our economy, creating over one million new jobs, and he has demonstrated a new brand of leadership, changing how America confronts challenges in the world. We are pleased to showcase a few of President Trump’s achievements to date and stand ready to support his successes that lie ahead, including his fervent commitment to cut taxes this year for hard-working Americans.	25	News & Politics	PT31S	31	2d	hd	false		29257	860	629	0	408
132	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	4DjtKwKsO40	2017-09-06T14:03:35.000Z	2017-09-06 14:03:35	Promises Made, Promises Kept	As with all campaign products including the iconic Make America Great Again hats, “presidential medals” are produced in America by Americans and available on the Campaign website at https://shop.donaldjtrump.com.	25	News & Politics	PT2M45S	165	2d	hd	false		47883	1112	753	0	451
133	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	LJtij1OTqRg	2017-09-05T22:05:11.000Z	2017-09-05 22:05:11	Joy Villa - Growth	Our economy is strong, our jobs are strong, & now we have a united front for the rest of the world. Joy Villa is PROUD to be an American because we are truly making America GREAT again!	25	News & Politics	PT1M8S	68	2d	hd	false		3692	585	64	0	113
134	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	PCtj_UU5U3U	2017-09-01T18:51:44.000Z	2017-09-01 18:51:44	Weekly Update 9.1.17	This week President Trump reminded our country that we are all ONE AMERICAN FAMILY. Watch for more REAL news.	25	News & Politics	PT4M11S	251	2d	hd	false		3591	462	57	0	157
135	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	7C73omB7JBo	2017-08-30T11:58:39.000Z	2017-08-30 11:58:39	Hurricane Harvey	We encourage all Americans to unite in this tragic moment to help our fellow Americans in need. You can donate to national disaster relief funds, including the following: · American Red Cross –www.redcross.org; 800-RED-CROSS; or text the word HARVEY to 90999 to make a $10 donation. · The Salvation Army –www.helpsalvationarmy.org; or 800-SAL-ARMY · The United Way -www.uwtexas.org/hurricane-harvey; or text UWFLOOD to 41444 · The SPCA of Texas -https://www.spca.org/ · The SPCA of Louisiana -https://www.la-spca.org/ · The Houston Humane Society -http://www.houstonhumane.org/ · The Louisiana Humane Society -http://news.humanela.org/	25	News & Politics	PT1M22S	82	2d	hd	false		4086	600	45	0	158
136	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	SK2z-ZGwV4Y	2017-08-25T17:17:01.000Z	2017-08-25 17:17:01	Weekly Update 8.25.17	President Trump had a BIG week – delivering a major address to the nation, visiting with U.S. Border Patrol, & rallying the #MAGA base in Arizona. TUNE IN to hear more!	25	News & Politics	PT2M43S	163	2d	hd	false		4155	526	65	0	135
137	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	Yk_nDnQZ_KM	2017-08-18T17:47:25.000Z	2017-08-18 17:47:25	Weekly Update 8.18.17	Want to hear about President Trump’s week? Join us for REAL news!	25	News & Politics	PT4M25S	265	2d	hd	false		262846	3943	181	0	253
138	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	cAQdPl5Pt2g	2017-08-13T02:49:26.000Z	2017-08-13 02:49:26	Weekly Update 8.12.17		25	News & Politics	PT1M56S	116	2d	hd	false		8779	700	669	0	224
139	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	vptm8IvmPck	2017-08-13T14:30:35.000Z	2017-08-13 14:30:35	Let President Trump Do His Job	AD CITES MAJOR ACHIEVEMENTS, INCLUDING JOBS, THE ECONOMY AND MILITARY STRENGTH EXCORIATES MEDIA “ATTACKING OUR PRESIDENT” AND “POLITICIANS STANDING IN THE WAY”	25	News & Politics	PT31S	31	2d	hd	false		1149846	18434	58268	0	17999
140	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	oJ0KP3CZnNE	2017-08-07T16:36:50.000Z	2017-08-07 16:36:50	Weekly Update 8.6.17	Join Kayleigh McEnany as she provides you the news of the week from Trump Tower in New York! #MAGA #TeamTrump	25	News & Politics	PT1M31S	91	2d	hd	false		7056	625	408	0	115
141	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	dXZfY0JzGkw	2017-08-07T16:36:21.000Z	2017-08-07 16:36:21	Weekly Update 7.30.17	Want to know what President Trump did this week? Watch here for REAL news!	25	News & Politics	PT2M25S	145	2d	hd	false		4449	386	332	0	82
142	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	hwABgq6ArU8	2017-05-31T10:57:36.000Z	2017-05-31 10:57:36	Get the Facts: No Fake MAGA Hats	In 2016, President Trump said he would Make America Great Again — a hat became a symbol for our movement. Hundreds of American workers manufactured these hats, all proudly made in the USA, as the campaign swept the nation helping an American company stay in business and create new jobs. Learn more about the creation of the iconic Make America Great Again hat and how to tell if you have an authentic hat by watching our new video. They are always 100% Made in the USA and we are proud to have a President whose jobs agenda is guided by the principles to buy American and hire American!	25	News & Politics	PT1M47S	107	2d	hd	false		40180	2075	630	0	592
143	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	ObsQ8_58V3Q	2017-05-01T16:21:58.000Z	2017-05-01 16:21:58	First 100 Days	In his first 100 days, President Donald J. Trump has taken bold actions to restore prosperity, keep Americans safe and secure, and hold the government accountable."	25	News & Politics	PT31S	31	2d	hd	false		1296204	26089	74222	0	15756
144	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	hrQAU33EZXU	2017-03-08T18:22:26.000Z	2017-03-08 18:22:26	Made In The USA	GET YOUR OWN #MAGA HAT HERE: https://shop.donaldjtrump.com/collections/headwear This is the inspiring story of the hundreds of American workers who manufactured the hats that became a symbol for our movement. We are proud to have a President whose jobs agenda is guided by the principles to buy American and hire American! #MadeInTheUSA	25	News & Politics	PT2M59S	179	2d	hd	false		99155	3852	2060	0	1020
145	UCAql2DyGU2un1Ei2nMYsqOA	Donald J Trump	cz1pKslZdLk	2018-03-11T02:12:07.000Z	2018-03-11 02:12:07	Donald J. Trump for President Live Stream		25	News & Politics	PT2H15M18S	918	2d	hd	false		9851	770	37	0	28
