id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyMJi6aQduOIqFbKXx4AaABAg	0	1	2019-04-15 22:13:30	New Zealand Political Prisoner	♥️♥️♥️♥️♥️...	UCIVS3Xi8zt4HDN-auaQoqiA	http://www.youtube.com/channel/UCIVS3Xi8zt4HDN-auaQoqiA	0		
UgxC4-je5i_1sQAjVs54AaABAg	0	2	2019-04-15 22:12:30	Smokey mtnmama	President Donald J. TRUMP 2020	UCO2JUNUJEiRfQCAuZtBwcbw	http://www.youtube.com/channel/UCO2JUNUJEiRfQCAuZtBwcbw	0		
UgxxSnEQJOGHPfkaxvZ4AaABAg	0	1	2019-04-15 22:12:19	Andrew	END FORCED DIVERSITY &amp; 3RD WORLD SANCTUARIES NOW	UC2_8JLNBw9dGauVZEPxB16Q	http://www.youtube.com/channel/UC2_8JLNBw9dGauVZEPxB16Q	0		
UgzZkEcJLCBVqvBmJHx4AaABAg	0	1	2019-04-15 22:08:44	Betty Owens	Trump2020 lets make American great 👍 god bless America and President🇺🇸👍👍👍	UCP-Fu8JrfLKPnig_00VqdPQ	http://www.youtube.com/channel/UCP-Fu8JrfLKPnig_00VqdPQ	0		
UgwLjzrHdzcs3BqFSRF4AaABAg	0	0	2019-04-15 22:05:11	David Tadlock	The rat&#39;s are taking likes away on this post. MAGA.	UC4pzrccYhQfC7nLB0Zcinqw	http://www.youtube.com/channel/UC4pzrccYhQfC7nLB0Zcinqw	0		
Ugw9o3XOi1jztR6mOq94AaABAg	1	0	2019-04-15 22:03:49	J. Scott	ALWAYS American&#39;s FIRST,ALWAYS America FIRST...Keep Making America Great...1 Vote in Virginia for Trump 2020...	UC_azpZ9kFwTUe5I8da6E01Q	http://www.youtube.com/channel/UC_azpZ9kFwTUe5I8da6E01Q	0		
Ugw9o3XOi1jztR6mOq94AaABAg.8tlD-51eJKi8tlYjetmki6		0	2019-04-16 01:13:48	dianne61760	You won’t be the only one in Virginia voting for Trump 👍 ! I will be too, for the 2nd time!! It’s too bad our state is decided mostly by the major cities in northern Virginia and southeastern Virginia (where I live). We need an electoral college system in each state just like we have for the whole country. He would win every state.	UCx8OKFJvkKRsjqkSgX_01Yg	http://www.youtube.com/channel/UCx8OKFJvkKRsjqkSgX_01Yg	1	Ugw9o3XOi1jztR6mOq94AaABAg	J. Scott
UgwfBT7q9tRgy-1cp294AaABAg	0	0	2019-04-15 22:02:20	America TheBeautiful	Trump 2020 ! Trump Jr 2024 2028! Ivanka 2032 2036 ! Baron Trump 2040 2044 !!! MAGA to infinity and beyond !!! You heard it first from America TheBeautiful!	UCN01fqrNLKhXYX97wRosbHg	http://www.youtube.com/channel/UCN01fqrNLKhXYX97wRosbHg	0		
UgwvvLdW6nKvmj76uCF4AaABAg	0	1	2019-04-15 22:02:05	Tha Legend	You got my vote trump	UCuGrhF7oCYiKWJYSI7hZFog	http://www.youtube.com/channel/UCuGrhF7oCYiKWJYSI7hZFog	0		
Ugy8uigmq6n9LRMGoSZ4AaABAg	0	0	2019-04-15 21:57:23	ss ss	NANCY PELOSI, CONGRESS, REPS MINUS FEW....WITNESSED WORLD WIDE, IS BY VERY DEFINITION ....100% TRAITORS TO THIS GREAT NATION!! FAKING STATS (RESEARCH) (NEGATING THE FACT THAT 100% OF ALL SCHOOL SHOOTERS WERE PROVEN TO HAVE BEEN ON ANTI PSYCHOTIC MEDS) CALLING MILLIONS OF US RACISTS, THEN PUTTING CONSERVATIVES ON A TERROR LIST WHILE DEFENDING HATE SPEECHES OF A FOLLOWER OF ISLAM, WITH WORLD WIDE STATS OF PURE GENOCIDE, GANG RAPES, ACID ATTACKS, HONOR KILLINGS, FGM... USING THE MEDIA BLACKOUT OF EUROPE, SWEEDEN, GERMANY, ETC....THINKING WE DONT KNOW!! NOT ONE DISCUSSION ON THOSE ONGOING ATROCITIES.....THIS IS WHAT THEY WANT FOR AMERICA! EVERYTHING THEYVE DONE PROVES THIS!! SMEARING OUR PRESIDENT AND MILLIONS OF AMERICANS WITH OPPOSING VIEWS TO THE WORLD USING THEIR PAID FOR MEDIA...MINUS FEW (WE ALL KNOW WHICH) AMERICA! WORLD! THE US CONGRESS, REPS....HAVE PROVED ON CAMERA, IN ACTION AND IN ACTION THAT THEY ARE BY VERY DEFINITION 100% DEMESTIC TERRORISTS WAGING WAR ON THE SOVERIENTY OF AMERICA. OUR MILITARY TOOK AN OATH, TO DEFEND THIS NATION FROM ALL ENEMIES FORIEGN AND DEMESTIC......THESE ARE THOSE ENEMIES OF AMERICA...NONE OF THEM COULD EVER DEFEND THE TREASONOUS ACTS THE HAVE COMMITED AGAINST AMERICA HER CITIZENS. MILLIONS OF US SEE THIS, KNOW THIS, AND WILL NOT TURN A BLIND EYE!!! ITS TIME WE CALL ON OUR PRESIDENT TO CALL IN OUR MILITARY TO DEFEND AGAINST ITS ENEMIES...TO LATE IS SOON!! THEYVE STRATEGICALLY GLOBALLY, ADDED US TO TERROR LIST, LABLED US RADICAL RACIST, ALMOST FINISHED COMPLETE CENSORESHIP (LESS THEN 2 MNTS AWAY) PERPATUATED VIOLENCE TOWARD US, DEVIDING OUR NATION FOR THE SOLE PURPOSE OF THEIR AGENDA.....PEOPLE...EUROPE, GERMANY, SWEEDEN, ETC....THATS THEIR AGENDA. MY FAMILY SPECIAL FORCES, THEY SEE.....WE NEED TO COLLECTIVELY ASK OUR PRESIDENT TO GIVE THE ORDER. WERE NOT THEM! WE WANT NO PART OF VIOLENCE...WE JUST WANT THEM OUT OF OFFICE, ALL OF U SEE THAT WE ARE THE NEXT GENOCIDE COMING. ...GET IN TOUCH....TIMES LIKE SAND NOW. .EXPECT A HORRIBLE, EVENT TO HAPPEN THAT PROVES THEIR POINT TO THE WORLD...JUSTIFIES ANY ACTION AGAINST THIS MANY PEOPLE... AND THERES NO WAY FOR THEM TO WIN 2020 WITHOUT AN EVENT LIKE THIS......I WANT TO BE SO WRONG...BUT WHEN THERES ONLY ONE CARD LEFT TO PLAY, IT GETS P,LAYED....GET IN TOUCH!!! PlEASE SHARE THIS ....WERE IN THIS TOGETHER.....BE CAREFUL, BE ALERT, ABOVE ALL BE SAFE MY FELLOW PATRIOTS.	UCzDRFzWZuowZbWN7YVwEDxw	http://www.youtube.com/channel/UCzDRFzWZuowZbWN7YVwEDxw	0		
